id,t1,t2,label,mask,change_ratio
LEVIR_train_train_1_r0000_c0000,T1/LEVIR_train_train_1_r0000_c0000.png,T2/LEVIR_train_train_1_r0000_c0000.png,0,masks/LEVIR_train_train_1_r0000_c0000.png,0.00000000
LEVIR_train_train_1_r0000_c0001,T1/LEVIR_train_train_1_r0000_c0001.png,T2/LEVIR_train_train_1_r0000_c0001.png,0,masks/LEVIR_train_train_1_r0000_c0001.png,0.00000000
LEVIR_train_train_1_r0000_c0002,T1/LEVIR_train_train_1_r0000_c0002.png,T2/LEVIR_train_train_1_r0000_c0002.png,0,masks/LEVIR_train_train_1_r0000_c0002.png,0.00000000
LEVIR_train_train_1_r0000_c0003,T1/LEVIR_train_train_1_r0000_c0003.png,T2/LEVIR_train_train_1_r0000_c0003.png,0,masks/LEVIR_train_train_1_r0000_c0003.png,0.00000000
LEVIR_train_train_1_r0000_c0004,T1/LEVIR_train_train_1_r0000_c0004.png,T2/LEVIR_train_train_1_r0000_c0004.png,0,masks/LEVIR_train_train_1_r0000_c0004.png,0.00000000
LEVIR_train_train_1_r0001_c0000,T1/LEVIR_train_train_1_r0001_c0000.png,T2/LEVIR_train_train_1_r0001_c0000.png,0,masks/LEVIR_train_train_1_r0001_c0000.png,0.00000000
LEVIR_train_train_1_r0001_c0001,T1/LEVIR_train_train_1_r0001_c0001.png,T2/LEVIR_train_train_1_r0001_c0001.png,0,masks/LEVIR_train_train_1_r0001_c0001.png,0.00000000
LEVIR_train_train_1_r0001_c0002,T1/LEVIR_train_train_1_r0001_c0002.png,T2/LEVIR_train_train_1_r0001_c0002.png,0,masks/LEVIR_train_train_1_r0001_c0002.png,0.00000000
LEVIR_train_train_1_r0001_c0003,T1/LEVIR_train_train_1_r0001_c0003.png,T2/LEVIR_train_train_1_r0001_c0003.png,0,masks/LEVIR_train_train_1_r0001_c0003.png,0.00000000
LEVIR_train_train_1_r0001_c0004,T1/LEVIR_train_train_1_r0001_c0004.png,T2/LEVIR_train_train_1_r0001_c0004.png,0,masks/LEVIR_train_train_1_r0001_c0004.png,0.00000000
LEVIR_train_train_1_r0002_c0000,T1/LEVIR_train_train_1_r0002_c0000.png,T2/LEVIR_train_train_1_r0002_c0000.png,0,masks/LEVIR_train_train_1_r0002_c0000.png,0.00000000
LEVIR_train_train_1_r0002_c0001,T1/LEVIR_train_train_1_r0002_c0001.png,T2/LEVIR_train_train_1_r0002_c0001.png,0,masks/LEVIR_train_train_1_r0002_c0001.png,0.00000000
LEVIR_train_train_1_r0002_c0002,T1/LEVIR_train_train_1_r0002_c0002.png,T2/LEVIR_train_train_1_r0002_c0002.png,0,masks/LEVIR_train_train_1_r0002_c0002.png,0.00000000
LEVIR_train_train_1_r0002_c0003,T1/LEVIR_train_train_1_r0002_c0003.png,T2/LEVIR_train_train_1_r0002_c0003.png,0,masks/LEVIR_train_train_1_r0002_c0003.png,0.00000000
LEVIR_train_train_1_r0002_c0004,T1/LEVIR_train_train_1_r0002_c0004.png,T2/LEVIR_train_train_1_r0002_c0004.png,0,masks/LEVIR_train_train_1_r0002_c0004.png,0.00000000
LEVIR_train_train_1_r0003_c0000,T1/LEVIR_train_train_1_r0003_c0000.png,T2/LEVIR_train_train_1_r0003_c0000.png,0,masks/LEVIR_train_train_1_r0003_c0000.png,0.00000000
LEVIR_train_train_1_r0003_c0001,T1/LEVIR_train_train_1_r0003_c0001.png,T2/LEVIR_train_train_1_r0003_c0001.png,1,masks/LEVIR_train_train_1_r0003_c0001.png,0.10387436
LEVIR_train_train_1_r0003_c0002,T1/LEVIR_train_train_1_r0003_c0002.png,T2/LEVIR_train_train_1_r0003_c0002.png,1,masks/LEVIR_train_train_1_r0003_c0002.png,0.11896126
LEVIR_train_train_1_r0003_c0003,T1/LEVIR_train_train_1_r0003_c0003.png,T2/LEVIR_train_train_1_r0003_c0003.png,1,masks/LEVIR_train_train_1_r0003_c0003.png,0.00115593
LEVIR_train_train_1_r0003_c0004,T1/LEVIR_train_train_1_r0003_c0004.png,T2/LEVIR_train_train_1_r0003_c0004.png,0,masks/LEVIR_train_train_1_r0003_c0004.png,0.00000000
LEVIR_train_train_1_r0004_c0000,T1/LEVIR_train_train_1_r0004_c0000.png,T2/LEVIR_train_train_1_r0004_c0000.png,0,masks/LEVIR_train_train_1_r0004_c0000.png,0.00000000
LEVIR_train_train_1_r0004_c0001,T1/LEVIR_train_train_1_r0004_c0001.png,T2/LEVIR_train_train_1_r0004_c0001.png,1,masks/LEVIR_train_train_1_r0004_c0001.png,0.14959343
LEVIR_train_train_1_r0004_c0002,T1/LEVIR_train_train_1_r0004_c0002.png,T2/LEVIR_train_train_1_r0004_c0002.png,1,masks/LEVIR_train_train_1_r0004_c0002.png,0.24992028
LEVIR_train_train_1_r0004_c0003,T1/LEVIR_train_train_1_r0004_c0003.png,T2/LEVIR_train_train_1_r0004_c0003.png,1,masks/LEVIR_train_train_1_r0004_c0003.png,0.11485571
LEVIR_train_train_1_r0004_c0004,T1/LEVIR_train_train_1_r0004_c0004.png,T2/LEVIR_train_train_1_r0004_c0004.png,1,masks/LEVIR_train_train_1_r0004_c0004.png,0.10666454
LEVIR_train_train_2_r0000_c0000,T1/LEVIR_train_train_2_r0000_c0000.png,T2/LEVIR_train_train_2_r0000_c0000.png,1,masks/LEVIR_train_train_2_r0000_c0000.png,0.02830038
LEVIR_train_train_2_r0000_c0001,T1/LEVIR_train_train_2_r0000_c0001.png,T2/LEVIR_train_train_2_r0000_c0001.png,0,masks/LEVIR_train_train_2_r0000_c0001.png,0.00000000
LEVIR_train_train_2_r0000_c0002,T1/LEVIR_train_train_2_r0000_c0002.png,T2/LEVIR_train_train_2_r0000_c0002.png,0,masks/LEVIR_train_train_2_r0000_c0002.png,0.00000000
LEVIR_train_train_2_r0000_c0003,T1/LEVIR_train_train_2_r0000_c0003.png,T2/LEVIR_train_train_2_r0000_c0003.png,0,masks/LEVIR_train_train_2_r0000_c0003.png,0.00000000
LEVIR_train_train_2_r0000_c0004,T1/LEVIR_train_train_2_r0000_c0004.png,T2/LEVIR_train_train_2_r0000_c0004.png,0,masks/LEVIR_train_train_2_r0000_c0004.png,0.00000000
LEVIR_train_train_2_r0001_c0000,T1/LEVIR_train_train_2_r0001_c0000.png,T2/LEVIR_train_train_2_r0001_c0000.png,1,masks/LEVIR_train_train_2_r0001_c0000.png,0.00701531
LEVIR_train_train_2_r0001_c0001,T1/LEVIR_train_train_2_r0001_c0001.png,T2/LEVIR_train_train_2_r0001_c0001.png,1,masks/LEVIR_train_train_2_r0001_c0001.png,0.00019930
LEVIR_train_train_2_r0001_c0002,T1/LEVIR_train_train_2_r0001_c0002.png,T2/LEVIR_train_train_2_r0001_c0002.png,1,masks/LEVIR_train_train_2_r0001_c0002.png,0.06453284
LEVIR_train_train_2_r0001_c0003,T1/LEVIR_train_train_2_r0001_c0003.png,T2/LEVIR_train_train_2_r0001_c0003.png,0,masks/LEVIR_train_train_2_r0001_c0003.png,0.00000000
LEVIR_train_train_2_r0001_c0004,T1/LEVIR_train_train_2_r0001_c0004.png,T2/LEVIR_train_train_2_r0001_c0004.png,1,masks/LEVIR_train_train_2_r0001_c0004.png,0.01987006
LEVIR_train_train_2_r0002_c0000,T1/LEVIR_train_train_2_r0002_c0000.png,T2/LEVIR_train_train_2_r0002_c0000.png,0,masks/LEVIR_train_train_2_r0002_c0000.png,0.00000000
LEVIR_train_train_2_r0002_c0001,T1/LEVIR_train_train_2_r0002_c0001.png,T2/LEVIR_train_train_2_r0002_c0001.png,1,masks/LEVIR_train_train_2_r0002_c0001.png,0.00019930
LEVIR_train_train_2_r0002_c0002,T1/LEVIR_train_train_2_r0002_c0002.png,T2/LEVIR_train_train_2_r0002_c0002.png,1,masks/LEVIR_train_train_2_r0002_c0002.png,0.23842076
LEVIR_train_train_2_r0002_c0003,T1/LEVIR_train_train_2_r0002_c0003.png,T2/LEVIR_train_train_2_r0002_c0003.png,1,masks/LEVIR_train_train_2_r0002_c0003.png,0.06277902
LEVIR_train_train_2_r0002_c0004,T1/LEVIR_train_train_2_r0002_c0004.png,T2/LEVIR_train_train_2_r0002_c0004.png,1,masks/LEVIR_train_train_2_r0002_c0004.png,0.15529337
LEVIR_train_train_2_r0003_c0000,T1/LEVIR_train_train_2_r0003_c0000.png,T2/LEVIR_train_train_2_r0003_c0000.png,0,masks/LEVIR_train_train_2_r0003_c0000.png,0.00000000
LEVIR_train_train_2_r0003_c0001,T1/LEVIR_train_train_2_r0003_c0001.png,T2/LEVIR_train_train_2_r0003_c0001.png,1,masks/LEVIR_train_train_2_r0003_c0001.png,0.09807478
LEVIR_train_train_2_r0003_c0002,T1/LEVIR_train_train_2_r0003_c0002.png,T2/LEVIR_train_train_2_r0003_c0002.png,1,masks/LEVIR_train_train_2_r0003_c0002.png,0.15284200
LEVIR_train_train_2_r0003_c0003,T1/LEVIR_train_train_2_r0003_c0003.png,T2/LEVIR_train_train_2_r0003_c0003.png,1,masks/LEVIR_train_train_2_r0003_c0003.png,0.04316805
LEVIR_train_train_2_r0003_c0004,T1/LEVIR_train_train_2_r0003_c0004.png,T2/LEVIR_train_train_2_r0003_c0004.png,1,masks/LEVIR_train_train_2_r0003_c0004.png,0.10369499
LEVIR_train_train_2_r0004_c0000,T1/LEVIR_train_train_2_r0004_c0000.png,T2/LEVIR_train_train_2_r0004_c0000.png,1,masks/LEVIR_train_train_2_r0004_c0000.png,0.03236607
LEVIR_train_train_2_r0004_c0001,T1/LEVIR_train_train_2_r0004_c0001.png,T2/LEVIR_train_train_2_r0004_c0001.png,1,masks/LEVIR_train_train_2_r0004_c0001.png,0.03469786
LEVIR_train_train_2_r0004_c0002,T1/LEVIR_train_train_2_r0004_c0002.png,T2/LEVIR_train_train_2_r0004_c0002.png,1,masks/LEVIR_train_train_2_r0004_c0002.png,0.07212612
LEVIR_train_train_2_r0004_c0003,T1/LEVIR_train_train_2_r0004_c0003.png,T2/LEVIR_train_train_2_r0004_c0003.png,1,masks/LEVIR_train_train_2_r0004_c0003.png,0.10174187
LEVIR_train_train_2_r0004_c0004,T1/LEVIR_train_train_2_r0004_c0004.png,T2/LEVIR_train_train_2_r0004_c0004.png,1,masks/LEVIR_train_train_2_r0004_c0004.png,0.09897162
LEVIR_train_train_3_r0000_c0000,T1/LEVIR_train_train_3_r0000_c0000.png,T2/LEVIR_train_train_3_r0000_c0000.png,0,masks/LEVIR_train_train_3_r0000_c0000.png,0.00000000
LEVIR_train_train_3_r0000_c0001,T1/LEVIR_train_train_3_r0000_c0001.png,T2/LEVIR_train_train_3_r0000_c0001.png,0,masks/LEVIR_train_train_3_r0000_c0001.png,0.00000000
LEVIR_train_train_3_r0000_c0002,T1/LEVIR_train_train_3_r0000_c0002.png,T2/LEVIR_train_train_3_r0000_c0002.png,0,masks/LEVIR_train_train_3_r0000_c0002.png,0.00000000
LEVIR_train_train_3_r0000_c0003,T1/LEVIR_train_train_3_r0000_c0003.png,T2/LEVIR_train_train_3_r0000_c0003.png,0,masks/LEVIR_train_train_3_r0000_c0003.png,0.00000000
LEVIR_train_train_3_r0000_c0004,T1/LEVIR_train_train_3_r0000_c0004.png,T2/LEVIR_train_train_3_r0000_c0004.png,0,masks/LEVIR_train_train_3_r0000_c0004.png,0.00000000
LEVIR_train_train_3_r0001_c0000,T1/LEVIR_train_train_3_r0001_c0000.png,T2/LEVIR_train_train_3_r0001_c0000.png,1,masks/LEVIR_train_train_3_r0001_c0000.png,0.01205756
LEVIR_train_train_3_r0001_c0001,T1/LEVIR_train_train_3_r0001_c0001.png,T2/LEVIR_train_train_3_r0001_c0001.png,1,masks/LEVIR_train_train_3_r0001_c0001.png,0.08081553
LEVIR_train_train_3_r0001_c0002,T1/LEVIR_train_train_3_r0001_c0002.png,T2/LEVIR_train_train_3_r0001_c0002.png,1,masks/LEVIR_train_train_3_r0001_c0002.png,0.13329082
LEVIR_train_train_3_r0001_c0003,T1/LEVIR_train_train_3_r0001_c0003.png,T2/LEVIR_train_train_3_r0001_c0003.png,1,masks/LEVIR_train_train_3_r0001_c0003.png,0.09636081
LEVIR_train_train_3_r0001_c0004,T1/LEVIR_train_train_3_r0001_c0004.png,T2/LEVIR_train_train_3_r0001_c0004.png,1,masks/LEVIR_train_train_3_r0001_c0004.png,0.01393096
LEVIR_train_train_3_r0002_c0000,T1/LEVIR_train_train_3_r0002_c0000.png,T2/LEVIR_train_train_3_r0002_c0000.png,1,masks/LEVIR_train_train_3_r0002_c0000.png,0.18630421
LEVIR_train_train_3_r0002_c0001,T1/LEVIR_train_train_3_r0002_c0001.png,T2/LEVIR_train_train_3_r0002_c0001.png,1,masks/LEVIR_train_train_3_r0002_c0001.png,0.24467873
LEVIR_train_train_3_r0002_c0002,T1/LEVIR_train_train_3_r0002_c0002.png,T2/LEVIR_train_train_3_r0002_c0002.png,1,masks/LEVIR_train_train_3_r0002_c0002.png,0.17721620
LEVIR_train_train_3_r0002_c0003,T1/LEVIR_train_train_3_r0002_c0003.png,T2/LEVIR_train_train_3_r0002_c0003.png,1,masks/LEVIR_train_train_3_r0002_c0003.png,0.24972098
LEVIR_train_train_3_r0002_c0004,T1/LEVIR_train_train_3_r0002_c0004.png,T2/LEVIR_train_train_3_r0002_c0004.png,1,masks/LEVIR_train_train_3_r0002_c0004.png,0.23299984
LEVIR_train_train_3_r0003_c0000,T1/LEVIR_train_train_3_r0003_c0000.png,T2/LEVIR_train_train_3_r0003_c0000.png,1,masks/LEVIR_train_train_3_r0003_c0000.png,0.05454799
LEVIR_train_train_3_r0003_c0001,T1/LEVIR_train_train_3_r0003_c0001.png,T2/LEVIR_train_train_3_r0003_c0001.png,1,masks/LEVIR_train_train_3_r0003_c0001.png,0.09915099
LEVIR_train_train_3_r0003_c0002,T1/LEVIR_train_train_3_r0003_c0002.png,T2/LEVIR_train_train_3_r0003_c0002.png,1,masks/LEVIR_train_train_3_r0003_c0002.png,0.18004624
LEVIR_train_train_3_r0003_c0003,T1/LEVIR_train_train_3_r0003_c0003.png,T2/LEVIR_train_train_3_r0003_c0003.png,1,masks/LEVIR_train_train_3_r0003_c0003.png,0.25894850
